,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename_x,stagename_y,Analise descarte,Classification,Time Since Announced
10,Bits,https://www.crunchbase.com/organization/bits-academy,Venture Round - Bits,https://www.crunchbase.com/funding_round/bits-academy-series-unknown--e6762d6e,756545.0,USD,756545.0,Venture - Series Unknown,"Legal Tech, SaaS, Software, UX Design",2024-07-12,"Levain Ventures, Quintal Ventures","Anjos do Brasil, Harvard Business School Alumni Angels of Brazil, Insper Angels, Koen Vansteenland, Levain Ventures, Luciano Itamar, Quintal Ventures",,330000.0,USD,330000.0,,,,Yes,Legal Documents made clear for any person through design,,legaldesignbits.com,,,4,"São Paulo, Sao Paulo, Brazil, South America",2024,bits,25376.0,bits,,Fazer Teste de Aderência,,,Nao tivemos acesso,19
13,Realize,https://www.crunchbase.com/organization/realize-ac7a,Pre Seed Round - Realize,https://www.crunchbase.com/funding_round/realize-ac7a-pre-seed--fc6d5aa7,1400000.0,BRL,256410.0,Pre-Seed,"E-Learning, Education",2024-07-08,Investidores.VC,Investidores.VC,Seed,1400000.0,BRL,256410.0,,,,Yes,Realize a firm focused in developing and administering online educational content,,realize.pro.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,realize,26222.0,realize,sumerlabs.com,Discard,,Indefinido,Indefinido,23
15,Alume,https://www.crunchbase.com/organization/alume,Venture Round - Alume,https://www.crunchbase.com/funding_round/alume-series-unknown--e20ffce3,7000000.0,USD,7000000.0,Venture - Series Unknown,"EdTech, Financial Services, FinTech, Medical",2024-07-08,Credit Saison,Credit Saison,,7000000.0,USD,7000000.0,,,,Yes,Alume is a fintech that offers student loans to medical students in Brazil.,,alume.com,Less than $1M,,5,"São Paulo, Sao Paulo, Brazil, South America",2024,alume,11295.0,alume,alume.com,Discard,Discard,,Falso Negativo,23
16,Pousada Gringa,https://www.crunchbase.com/organization/pousada-gringa,Seed Round - Pousada Gringa,https://www.crunchbase.com/funding_round/pousada-gringa-seed--3e4c6b4b,12000.0,USD,12000.0,Seed,,2024-07-08,,,Seed,12000.0,USD,12000.0,,,,Yes,Pousada Gringa is a company.,,,,Seed,1,"Paraty, Rio de Janeiro, Brazil, South America",2024,pousadagringa,,,,Nao tivemos acesso,,,Nao tivemos acesso,23
17,Justix,https://www.crunchbase.com/organization/justix-32a6,Pre Seed Round - Justix,https://www.crunchbase.com/funding_round/justix-32a6-pre-seed--1048a807,250000.0,USD,250000.0,Pre-Seed,"FinTech, Legal Tech",2024-07-03,,,Seed,250000.0,USD,250000.0,,,,Yes,Justix revolutionizes the legal fintech landscape by providing innovative financial solutions backed by legal assets.,,justixcapital.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,justix,25867.0,justix,,Opportunity,,,Em análise,28
19,Tivita,https://www.crunchbase.com/organization/tivita-56fb,Seed Round - Tivita,https://www.crunchbase.com/funding_round/tivita-56fb-seed--244d3b02,32000000.0,BRL,5657009.0,Seed,"FinTech, Health Care, Software",2024-07-02,FinTech Collective,"Cesar Carvalho, FinTech Collective, K50 Ventures, MAYA Capital, Parker Treacy, Renato Velloso, SSV, Tiago Dalvi, Travis Foxhall",Seed,32000000.0,BRL,5657009.0,,,,Yes,Operating System for Healthcare Providers,,tivita.ai,,Seed,1,"Barueri, Sao Paulo, Brazil, South America",2024,tivita,25045.0,tivita,,Opportunity,,,Dúvida,29
20,OmniK,https://www.crunchbase.com/organization/omnik-95b9,Venture Round - OmniK,https://www.crunchbase.com/funding_round/omnik-95b9-series-unknown--01932a6c,1200000.0,USD,1200000.0,Venture - Series Unknown,"B2B, Information Technology, Software",2024-07-02,ABSeed Ventures,ABSeed Ventures,,1200000.0,USD,1200000.0,,,,Yes,OmniK is a software development process that provides a SaaS platform to revolutionize digital retail.,,omnik.com.br,,,1,"São Paulo, Sao Paulo, Brazil, South America",2024,omnik,25554.0,omnik,omnik.com.br,P.Comitê 02,,,Dúvida,29
21,Gênica,https://www.crunchbase.com/organization/gênica,Venture Round - Gênica,https://www.crunchbase.com/funding_round/gênica-series-unknown--f7b23271,19470185.0,USD,19470185.0,Venture - Series Unknown,"Agriculture, AgTech, Biotechnology, Farming, GreenTech",2024-07-01,Agrex,"Agrex, Banco do Brasil",,68000000.0,BRL,12157185.0,,,,Yes,Gênica manages production system rationally using chemical pesticides and biological tools.,,genica.com.br/site,,,3,"Piracicaba, Sao Paulo, Brazil, South America",2024,gênica,22851.0,gênica,genica.com.br,Zero,Zero,,Nao tivemos acesso,30
25,Vinna AI,https://www.crunchbase.com/organization/vinna-ai,Pre Seed Round - Vinna AI,https://www.crunchbase.com/funding_round/vinna-ai-pre-seed--b216980d,100000.0,USD,100000.0,Pre-Seed,"Artificial Intelligence (AI), Consulting, Information Technology, Software",2024-06-27,,,Seed,100000.0,USD,100000.0,,,,Yes,"Artifiial Intelligence Service Provider, Gen AI Service Provider",,vinna.one,,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2024,vinnaai,,,,Nao tivemos acesso,,,Nao tivemos acesso,34
26,Bolt Software,https://www.crunchbase.com/organization/bolt-software,Series A - Bolt Software,https://www.crunchbase.com/funding_round/bolt-software-series-a--dc000963,6000000.0,USD,6000000.0,Series A,Software,2024-06-25,L4 Venture Builder,L4 Venture Builder,Early Stage Venture,5000000.0,USD,5000000.0,,,,Yes,"Bolt is a software aggregator that partners with leading niche software companies, unlocking growth opportunities to create category winners",,boltsoftware.io-home,,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2024,boltsoftware,,,,Nao tivemos acesso,,,Nao tivemos acesso,36
27,Konsi,https://www.crunchbase.com/organization/konsi,Seed Round - Konsi,https://www.crunchbase.com/funding_round/konsi-seed--53df8e70,1612620.0,USD,1612620.0,Seed,"Apps, Financial Services, FinTech",2024-06-24,Valutia,"Lighthouse Ventures, Valutia",Seed,1000000.0,USD,1000000.0,,,,Yes,Konsi is a financial solutions app that offers safe and transparent payroll loans.,,konsi.com.br,,Seed,2,"Bahia, Bahia, Brazil, South America",2024,konsi,,,,Nao tivemos acesso,,,Nao tivemos acesso,37
28,Diferente ≠,https://www.crunchbase.com/organization/diferente,Seed Round - Diferente ≠,https://www.crunchbase.com/funding_round/diferente-seed--124f0c91,9000000.0,USD,9000000.0,Seed,"E-Commerce, Food and Beverage, Food Delivery, Fruit, Grocery, Sustainability, Waste Management",2024-06-24,Collaborative Fund,"Caravela Capital, Collaborative Fund",Seed,1600000.0,USD,1600000.0,,,,Yes,Diferente is a Brazilian food tech aiming to democratize access to organic food while fighting waste.,,mercadodiferente.com.br,$1M to $10M,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2024,diferente≠,,,,Nao tivemos acesso,,,Nao tivemos acesso,37
29,Celcoin,https://www.crunchbase.com/organization/celcoin,Series C - Celcoin,https://www.crunchbase.com/funding_round/celcoin-series-c--6df66183,156130284.0,USD,156130284.0,Series C,"Banking, Financial Services, FinTech, Payments, Service Industry",2024-06-18,Summit Partners,"Innova Capital, Summit Partners",Late Stage Venture,125000000.0,USD,125000000.0,,,,Yes,Celcoin - banking is now your business.,,celcoin.com.br,$10M to $50M,Late Stage Venture,7,"Barueri, Sao Paulo, Brazil, South America",2024,celcoin,997.0,celcoin,celcoin.com.br,Discard,Discard,,Lost to another players,43
31,Fiibo,https://www.crunchbase.com/organization/fiibo,Seed Round - Fiibo,https://www.crunchbase.com/funding_round/fiibo-seed--ad1314b3,6147849.0,USD,6147849.0,Seed,"Employee Benefits, Health Care, Information Technology, Medical, Software",2024-06-17,,Wayra Brasil,Seed,250000.0,USD,250000.0,,,,Yes,"First health, wellness and benefits multimarketplace in brazil",,fiibo.com.br,,Seed,3,"Ceará, Ceara, Brazil, South America",2024,fiibo,24340.0,fiibo,fiibo.com.br,Discard,Discard,,Lost to another players,44
32,LitiPay,https://www.crunchbase.com/organization/litipay,Seed Round - LitiPay,https://www.crunchbase.com/funding_round/litipay-seed--815bc5cc,1400000.0,USD,1400000.0,Seed,"Financial Services, Legal",2024-06-14,SRM Ventures,SRM Ventures,Seed,1400000.0,USD,1400000.0,,,,Yes,"LitiPay is a digital platform designed to advance judicial credits, providing credit anticipation services for various legal processes.",,litipay.com.br,,Seed,1,"Bahia, Bahia, Brazil, South America",2024,litipay,,,,Nao tivemos acesso,,,Nao tivemos acesso,47
33,a55,https://www.crunchbase.com/organization/a55,Venture Round - a55,https://www.crunchbase.com/funding_round/a55-series-unknown--24a37882,58766337.0,USD,58766337.0,Venture - Series Unknown,"Finance, Financial Services, FinTech, Information Technology",2024-06-11,Paysecure,Paysecure,,,,,,,,Yes,A55 is a developer of a financial underwriting platform used to offer a credit line system to companies with recurring revenue.,,a55.tech,$1M to $10M,,8,"São Paulo, Sao Paulo, Brazil, South America",2024,a55,23189.0,a55,,Registered,Registered,,Nao tivemos acesso,50
34,Kovi,https://www.crunchbase.com/organization/kovi,Debt Financing - Kovi,https://www.crunchbase.com/funding_round/kovi-debt-financing--4952411e,204621175.0,USD,204621175.0,Debt Financing,"Automotive, Big Data, Car Sharing, Information Technology, Rental, Transportation",2024-06-10,,,,8046175.0,USD,8046175.0,,,,No,We're a technology startup that provides an easy and affordable way to rent or a car,,kovi.com.br,$100M to $500M,Early Stage Venture,9,"São Paulo, Sao Paulo, Brazil, South America",2024,kovi,16031.0,kovi,,Registered,Registered,,Nao tivemos acesso,51
35,Kanastra,https://www.crunchbase.com/organization/kanastra,Series A - Kanastra,https://www.crunchbase.com/funding_round/kanastra-series-a--607ea345,33828205.0,USD,33828205.0,Series A,"Asset Management, Banking, Financial Services",2024-06-05,Kaszek,"Actyus, Atlantico, Kaszek, QED Investors, Quona Capital, Valor Capital Group",Early Stage Venture,110000000.0,BRL,20828205.0,,,,Yes,Tech-driven backoffice for alternative investments,,kanastra.com.br,$1M to $10M,Early Stage Venture,4,"Uberlândia, Minas Gerais, Brazil, South America",2024,kanastra,24495.0,kanastra,kanastra.com.br,Fazer Teste de Aderência,Fazer Teste de Aderência,,Nao tivemos acesso,56
36,Semexe,https://www.crunchbase.com/organization/semexe,Venture Round - Semexe,https://www.crunchbase.com/funding_round/semexe-series-unknown--43a8f43a,1744717.0,USD,1744717.0,Venture - Series Unknown,Sports,2024-06-05,Hiker Ventures,Hiker Ventures,,760000.0,USD,760000.0,,,,Yes,"Semexe is a channel for those who want to buy, sell and learn more about the world of biking.",,semexe.com,$1M to $10M,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,semexe,9768.0,semexe,semexe.com,Portfolio,Portfolio,,Portfolio,56
37,Stockash,https://www.crunchbase.com/organization/stockash,Angel Round - Stockash,https://www.crunchbase.com/funding_round/stockash-angel--32ac785c,30000.0,USD,30000.0,Angel,"Financial Services, FinTech, Personal Finance",2024-06-01,Anjos do Brasil,Anjos do Brasil,Seed,30000.0,USD,30000.0,,,,Yes,Stockash empowers startup employees and founders by unlocking value from stock option plans through innovative financing solutions.,,stockash.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,stockash,24999.0,stockash,stockash.com,Discard,,Indefinido,Indefinido,60
38,GeoIntelligence,https://www.crunchbase.com/organization/riskmap-3c5d,Seed Round - GeoIntelligence,https://www.crunchbase.com/funding_round/riskmap-3c5d-seed--6ae4aadf,250000.0,USD,250000.0,Seed,"Artificial Intelligence (AI), Image Recognition, Mapping Services, SaaS, Satellite Communication, Software",2024-05-30,,,Seed,200000.0,USD,200000.0,1000000.0,USD,1000000.0,Yes,Platform for identifying areas of potential risk through motivating people and satellite images. SaaS platforms for area monitoring.,,geointelligence.com.br,,Seed,2,"Goiânia, Goias, Brazil, South America",2024,geointelligence,,,,Nao tivemos acesso,,,Nao tivemos acesso,62
40,UpDairy,https://www.crunchbase.com/organization/updairy,Non Equity Assistance - UpDairy,https://www.crunchbase.com/funding_round/updairy-non-equity-assistance--8ef22ec0,250000.0,USD,250000.0,Non-equity Assistance,"Alternative Protein, Dairy, Food and Beverage, Food Processing",2024-05-24,MassChallenge Switzerland,MassChallenge Switzerland,,,,,,,,No,UpDairy is a food tech startup company that develops alternative dairy proteins through precision fermentation.,,updairy.co,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2024,updairy,,,,Nao tivemos acesso,,,Nao tivemos acesso,68
41,GREEN MINING,https://www.crunchbase.com/organization/green-mining,Non Equity Assistance - GREEN MINING,https://www.crunchbase.com/funding_round/green-mining-non-equity-assistance--af8617e4,,,,Non-equity Assistance,"Logistics, Recycling, Supply Chain Management, Transportation",2024-05-24,MassChallenge Switzerland,MassChallenge Switzerland,,,,,,,,No,Green Mining develops intelligent reverse logistics technology to retrieve post-consumer packaging and bring it into the production cycle.,,greenmining.com.br/home-en,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,greenmining,18541.0,greenmining,greenmining.com.br,Zero,Zero,,Em análise,68
42,Cellva Ingredients,https://www.crunchbase.com/organization/cellva-ingredients,Non Equity Assistance - Cellva Ingredients,https://www.crunchbase.com/funding_round/cellva-ingredients-non-equity-assistance--3f502e09,2612203.0,USD,2612203.0,Non-equity Assistance,"Biotechnology, Food and Beverage, Food Processing",2024-05-24,MassChallenge Switzerland,MassChallenge Switzerland,,,,,,,,No,"Cellva Ingredients is a biotech firm producing food ingredients and animal fats with GMO-free, animal-free, and nonsynthetic technologies.",,cellva.com,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2024,cellvaingredients,,,,Nao tivemos acesso,,,Nao tivemos acesso,68
43,Cellva Ingredients,https://www.crunchbase.com/organization/cellva-ingredients,Non Equity Assistance - Cellva Ingredients,https://www.crunchbase.com/funding_round/cellva-ingredients-non-equity-assistance--3f502e09,2612203.0,USD,2612203.0,Non-equity Assistance,"Biotechnology, Food and Beverage, Food Processing",2024-05-24,MassChallenge Switzerland,MassChallenge Switzerland,,,,,,,,No,"Cellva Ingredients is a biotech firm producing food ingredients and animal fats with GMO-free, animal-free, and nonsynthetic technologies.",,cellva.com,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2024,cellvaingredients,,,,Nao tivemos acesso,,,Nao tivemos acesso,68
44,Bioreset,https://www.crunchbase.com/organization/bioreset,Non Equity Assistance - Bioreset,https://www.crunchbase.com/funding_round/bioreset-non-equity-assistance--d7de9552,,,,Non-equity Assistance,,2024-05-24,MassChallenge Switzerland,MassChallenge Switzerland,,,,,,,,No,Bioreset is creating the next generation of raw materials for the plastics industry.,,bioreset.com.br/home-eng,,,1,"Jacareí, Sao Paulo, Brazil, South America",2024,bioreset,23891.0,bioreset,bioreset.com.br,Discard,,Indefinido,Indefinido,68
45,talkd.ai,https://www.crunchbase.com/organization/talkd-ai,Pre Seed Round - talkd.ai,https://www.crunchbase.com/funding_round/talkd-ai-pre-seed--62a5fe66,40000.0,USD,40000.0,Pre-Seed,,2024-05-23,GitHub Accelerator,GitHub Accelerator,Seed,40000.0,USD,40000.0,,,,Yes,LLM Ops Open Core Framework,,talkd.ai,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,talkd.ai,26388.0,talkd.ai,talkd.ai,Opportunity,,,Em análise,69
46,PLUS CLOUD,https://www.crunchbase.com/organization/plus-cloud,Series A - PLUS CLOUD,https://www.crunchbase.com/funding_round/plus-cloud-series-a--ff1592be,870000.0,BRL,173956.0,Series A,"Cloud Computing, Generative AI, Software",2024-05-19,,,Early Stage Venture,120000.0,BRL,23513.0,,,,Yes,Plus Cloud is an innovative platform for developing content generation software.,,pluscloud.tech,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2024,pluscloud,,,,Nao tivemos acesso,,,Nao tivemos acesso,73
47,CRMBonus,https://www.crunchbase.com/organization/crm-bônus,Series B - CRMBonus,https://www.crunchbase.com/funding_round/crm-bônus-series-b--96b0ebba,680000000.0,BRL,128956637.0,Series B,"CRM, Marketing",2024-05-14,Bond,"Bond, Igah Ventures, Industry Ventures, SOFTBANK Latin America Ventures, Valor Capital Group, Vivo Ventures",Early Stage Venture,400000000.0,BRL,77986391.0,1800000000.0,BRL,350938761.0,Yes,CRMBonus is a CRM consultancy and Giftback platforms.,,crmbonus.com.br,,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2024,crmbonus,,,,Nao tivemos acesso,,,Nao tivemos acesso,78
48,NG.CASH,https://www.crunchbase.com/organization/ng-cash,Series A - NG.CASH,https://www.crunchbase.com/funding_round/ng-cash-series-a--bdc360c8,24149995.0,USD,24149995.0,Series A,"Banking, Consumer Applications, Financial Services, FinTech",2024-05-14,monashees,"17Sigma, Andreessen Horowitz, Daphni, Generalist Capital, monashees, Tekton Ventures",Early Stage Venture,12500000.0,USD,12500000.0,,,,Yes,NG.CASH is a digital bank built for GenZ teenagers to teach them in making financial decisions with their cash.,,ng.cash,,Early Stage Venture,4,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2024,ng.cash,,,,Nao tivemos acesso,Discard,,Falso Negativo,78
49,IncluiPcD,https://www.crunchbase.com/organization/incluipcd,Seed Round - IncluiPcD,https://www.crunchbase.com/funding_round/incluipcd-seed--1e1b1cca,100000.0,USD,100000.0,Seed,"Artificial Intelligence (AI), Human Resources, Software",2024-05-14,Egalite,Egalite,Seed,100000.0,USD,100000.0,,,,Yes,SaaS AI Recruitment platform for the employment of persons with disabilities,,incluipcd.com.br,,Seed,1,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2024,incluipcd,,,,Nao tivemos acesso,,,Nao tivemos acesso,78
50,Salvy,https://www.crunchbase.com/organization/salvy,Seed Round - Salvy,https://www.crunchbase.com/funding_round/salvy-seed--9ebd7cff,3339601.0,USD,3339601.0,Seed,"Enterprise Software, IT Management, Software, Telecommunications",2024-05-13,,"Arash Ferdowsi, Pioneer Fund",Seed,10000000.0,BRL,1939601.0,,,,Yes,Full-digital B2B mobile carrier,,salvy.com.br,,Seed,3,"Curitiba, Parana, Brazil, South America",2024,salvy,21510.0,salvy,salvy.com.br,Discard,Discard,,Indefinido,79
51,Kikiwi,https://www.crunchbase.com/organization/kikiwi,Seed Round - Kikiwi,https://www.crunchbase.com/funding_round/kikiwi-seed--46113224,,,,Seed,"Mobile Apps, Social Network",2024-05-13,,,Seed,,,,5000000.0,BRL,969800.0,Yes,Kikiwi is a brazilian social network platform that change the way to connect with everything,,kikiwi.app,,Seed,1,"Brasília, Rio Grande do Norte, Brazil, South America",2024,kikiwi,,,,Nao tivemos acesso,,,Nao tivemos acesso,79
53,Bloxs,https://www.crunchbase.com/organization/bloxs,Secondary Market - Bloxs,https://www.crunchbase.com/funding_round/bloxs-secondary-market--55135437,690000.0,USD,690000.0,Secondary Market,"Crowdfunding, Financial Services, FinTech",2024-05-09,BS2,BS2,,,,,,,,No,Bloxs is a crowdfunding platform (collective financing) focused on real estate investment.,,bloxs.com.br,$1M to $10M,Seed,3,"Recife, Bahia, Brazil, South America",2024,bloxs,2194.0,bloxs,bloxs.com.br,Portfolio,Portfolio,,Portfolio,83
54,Bloxs,https://www.crunchbase.com/organization/bloxs,Debt Financing - Bloxs,https://www.crunchbase.com/funding_round/bloxs-debt-financing--f1ea7c98,690000.0,USD,690000.0,Debt Financing,"Crowdfunding, Financial Services, FinTech",2024-05-09,BS2,BS2,,,,,,,,No,Bloxs is a crowdfunding platform (collective financing) focused on real estate investment.,,bloxs.com.br,$1M to $10M,Seed,3,"Recife, Bahia, Brazil, South America",2024,bloxs,2194.0,bloxs,bloxs.com.br,Portfolio,Portfolio,,Portfolio,83
55,Biologix,https://www.crunchbase.com/organization/biologix,Venture Round - Biologix,https://www.crunchbase.com/funding_round/biologix-series-unknown--17c1f639,1200000.0,USD,1200000.0,Venture - Series Unknown,"Health Care, SaaS",2024-05-07,"Hospital Israelita Albert Einstein, Kortex Ventures","Hospital Israelita Albert Einstein, Kortex Ventures",,1200000.0,USD,1200000.0,,,,Yes,Obstructive sleep apnea SaaS platform,,biologix.com.br,,,1,"São Paulo, Sao Paulo, Brazil, South America",2024,biologix,3803.0,biologix,biologix.com.br,Discard,,Indefinido,Indefinido,85
57,Indicium Tech,https://www.crunchbase.com/organization/indicium-tech,Venture Round - Indicium Tech,https://www.crunchbase.com/funding_round/indicium-tech-series-unknown--6a57302c,40000000.0,USD,40000000.0,Venture - Series Unknown,,2024-05-02,Columbia Capital,"Columbia Capital, Matt Farmer",,40000000.0,USD,40000000.0,,,,Yes,Indicium is a Data Science as Service company. We assist businesses to transform data into actionable insights and opportunities,,indicium.tech,,,1,"Florianópolis, Santa Catarina, Brazil, South America",2024,indiciumtech,,,,Nao tivemos acesso,,,Nao tivemos acesso,90
